Sales Report,,,,,,,,,,,,,,,,,
Date,Day,Sales Rep,Product,Units, Price ,Total Sales,City,Region,,,,,,,,,
11 March 2013,Saturday,Drew  Rogers,Nestle Maxibon Cookie,3,203.00,609,Delhi,North,,,,,,,,,
12 March 2013,Sunday,Shari  Silva,Nestle Smarties Pop-Up,1,151.00,151,Mysore,South,,,,,,,,,
13 March 2013,Monday,Elvira  Bowman,Nestle Rowntree Fruit Pastil,3,262.00,786,Srinagar,North,,,,,,,,,
14 March 2013,Tuesday,Drew  Rogers,Nestle Kit Kat Cone,1,201.00,201,Delhi,North,,,,,,,,,
15 March 2013,Wednesday,Rachel  Gomez,Nestle Fab,2,474.00,948,Delhi,North,,,,,,,,,
16 March 2013,Thursday,Drew  Rogers,Nestle Rowntree Fruit Pastil,2,406.00,812,Delhi,North,,,,,,,,,
17 March 2013,Friday,Guillermo  Potter,Nestle Rolo Potz,2,236.00,472,Nainital,North,,,,,,,,,
18 March 2013,Saturday,Lula  Daniels,Nestle Milky Bar Stick,3,482.00,1446,Nainital,North,,,,,,,,,
19 March 2013,Sunday,Marion  Glover,Nestle Smarties Pop-Up,2,210.00,420,Durgapur,East,,,,,,,,,
20 March 2013,Monday,Trevor  Jones,Nestle Maxibon Cookie,2,178.00,356,Pune,West,,,,,,,,,
21 March 2013,Tuesday,Max  Rodgers,Nestle Rowntree Fruit Pastil,3,180.00,540,Nagpur,West,,,,,,,,,
22 March 2013,Wednesday,Pauline  Beck,Nestle Aero Mint Potz,2,224.00,448,Pune,West,,,,,,,,,
23 March 2013,Thursday,Marion  Glover,Nestle Nobbly Bobbly,1,203.00,203,Durgapur,East,,,,,,,,,
24 March 2013,Friday,Ernest  Davis,Nestle Aero Mint Potz,1,261.00,261,Mumbai,West,,,,,,,,,
25 March 2013,Saturday,Johanna  Boone,Nestle Milky Bar Stick,1,415.00,415,Mysore,South,,,,,,,,,
26 March 2013,Sunday,Salvador  Bass,Nestle Smarties Pop-Up,2,441.00,882,Goa,West,,,,,,,,,
27 March 2013,Monday,Herman  Williams,Nestle Rowntree Screamers,3,380.00,1140,Darjeeling,East,,,,,,,,,
28 March 2013,Tuesday,Shari  Silva,Nestle Kit Kat Cone,3,176.00,528,Mysore,South,,,,,,,,,
29 March 2013,Wednesday,Robert  Munoz,Nestle Maxibon Cookie,2,414.00,828,Delhi,North,,,,,,,,,
30 March 2013,Thursday,Ellen  Weaver,Nestle Fab,3,395.00,1185,Hyderabad,South,,,,,,,,,
31 March 2013,Friday,Bobbie  Ryan,Nestle Smarties Pop-Up,3,496.00,1488,Darjeeling,East,,,,,,,,,
01 April 2013,Saturday,Lance  Yates,Nestle Toffee Crumble,3,337.00,1011,Srinagar,North,,,,,,,,,
02 April 2013,Sunday,Mable  Lindsey,Nestle Milky Bar Stick,3,398.00,1194,Ahmedabad,West,,,,,,,,,
03 April 2013,Monday,Ivan  Adkins,Nestle Aero Mint Potz,1,485.00,485,Mumbai,West,,,,,,,,,
04 April 2013,Tuesday,Christina  Fuller,Nestle Rowntree Fruit Pastil,3,285.00,855,Nagpur,West,,,,,,,,,
05 April 2013,Wednesday,Robert  Munoz,Nestle Toffee Crumble,21,418.00,8778,Delhi,North,,,,,,,,,
06 April 2013,Thursday,Johanna  Boone,Nestle Smarties Pop-Up,2,130.00,260,Mysore,South,,,,,,,,,
07 April 2013,Friday,Cassandra  Franklin,Nestle Smarties Pop-Up,3,188.00,564,Delhi,North,,,,,,,,,
08 April 2013,Saturday,Cecilia  Manning,Nestle Kit Kat Cone,12,157.00,1884,Trivandrum,South,,,,,,,,,
09 April 2013,Sunday,Jenny  Garcia,Nestle Smarties Pop-Up,3,262.00,786,Shimla,North,,,,,,,,,
10 April 2013,Monday,Jaime  Pearson,Nestle Milky Bar Stick,2,326.00,652,Jodhpur,North,,,,,,,,,
11 April 2013,Tuesday,Rachel  Gomez,Nestle Milky Bar Stick,2,323.00,646,Delhi,North,,,,,,,,,
12 April 2013,Wednesday,Ellen  Weaver,Nestle Smarties Pop-Up,3,191.00,573,Hyderabad,South,,,,,,,,,
13 April 2013,Thursday,Shari  Silva,Nestle Aero Mint Potz,1,265.00,265,Mysore,South,,,,,,,,,
14 April 2013,Friday,Eric  Rose,Nestle Aero Mint Potz,3,414.00,1242,Mumbai,West,,,,,,,,,
15 April 2013,Saturday,Lula  Daniels,Nestle Milky Bar Stick,2,252.00,504,Nainital,North,,,,,,,,,
16 April 2013,Sunday,Salvador  Bass,Nestle Maxibon Cookie,1,243.00,243,Goa,West,,,,,,,,,
17 April 2013,Monday,Elvira  Bowman,Nestle Aero Mint Potz,22,491.00,10802,Srinagar,North,,,,,,,,,
18 April 2013,Tuesday,Mable  Lindsey,Nestle Maxibon Cookie,2,150.00,300,Ahmedabad,West,,,,,,,,,
19 April 2013,Wednesday,Andrew  Meyer,Nestle Fab,1,264.00,264,Mumbai,West,,,,,,,,,
20 April 2013,Thursday,Lynette  Brewer,Nestle Toffee Crumble,19,136.00,2584,Varanasi,North,,,,,,,,,
21 April 2013,Friday,Johanna  Boone,Nestle Rowntree Fruit Pastil,1,254.00,254,Mysore,South,,,,,,,,,
22 April 2013,Saturday,Edwin  Malone,Nestle Smarties Pop-Up,2,136.00,272,Kolkata,East,,,,,,,,,
23 April 2013,Sunday,Della  Jensen,Nestle Rowntree Fruit Pastil,2,450.00,900,Patna,East,,,,,,,,,
24 April 2013,Monday,Blake  Bridges,Nestle Maxibon Cookie,2,439.00,878,Cochin,South,,,,,,,,,
25 April 2013,Tuesday,Mable  Lindsey,Nestle Kit Kat Cone,23,140.00,3220,Ahmedabad,West,,,,,,,,,
26 April 2013,Wednesday,Ernest  Davis,Nestle Aero Mint Potz,3,259.00,777,Mumbai,West,,,,,,,,,
27 April 2013,Thursday,Della  Jensen,Nestle Toffee Crumble,2,324.00,648,Patna,East,,,,,,,,,
28 April 2013,Friday,Robert  Munoz,Nestle Toffee Crumble,2,374.00,748,Delhi,North,,,,,,,,,
29 April 2013,Saturday,Cecilia  Manning,Nestle Rolo Potz,11,433.00,4763,Trivandrum,South,,,,,,,,,
30 April 2013,Sunday,Salvador  Bass,Nestle Aero Mint Potz,3,377.00,1131,Goa,West,,,,,,,,,
01 May 2013,Monday,Cassandra  Franklin,Nestle Rowntree Fruit Pastil,2,308.00,616,Delhi,North,,,,,,,,,
02 May 2013,Tuesday,Lee  Mack,Nestle Fab,1,199.00,199,Delhi,North,,,,,,,,,
03 May 2013,Wednesday,Rachel  Gomez,Nestle Milky Bar Stick,3,464.00,1392,Delhi,North,,,,,,,,,
04 May 2013,Thursday,Shari  Silva,Nestle Maxibon Cookie,2,319.00,638,Mysore,South,,,,,,,,,
05 May 2013,Friday,Shari  Silva,Nestle Rowntree Fruit Pastil,2,465.00,930,Mysore,South,,,,,,,,,
06 May 2013,Saturday,Robert  Munoz,Nestle Milky Bar Stick,2,182.00,364,Delhi,North,,,,,,,,,
07 May 2013,Sunday,Ernest  Davis,Nestle Milky Bar Stick,1,401.00,401,Mumbai,West,,,,,,,,,
08 May 2013,Monday,Lee  Mack,Nestle Smarties Pop-Up,7,293.00,2051,Delhi,North,,,,,,,,,
09 May 2013,Tuesday,Rachel  Gomez,Nestle Kit Kat Cone,1,147.00,147,Delhi,North,,,,,,,,,
10 May 2013,Wednesday,Andrew  Meyer,Nestle Fab,20,136.00,2720,Mumbai,West,,,,,,,,,
11 May 2013,Thursday,Isabel  Cross,Nestle Smarties Pop-Up,20,348.00,6960,Ranchi,East,,,,,,,,,
12 May 2013,Friday,Cindy  Becker,Nestle Fab,2,244.00,488,Bangalore,South,,,,,,,,,
13 May 2013,Saturday,Felicia  Jennings,Nestle Milky Bar Stick,1,253.00,253,Pune,West,,,,,,,,,
14 May 2013,Sunday,Della  Jensen,Nestle Aero Mint Potz,1,155.00,155,Patna,East,,,,,,,,,
15 May 2013,Monday,Bernadette  Page,Nestle Aero Mint Potz,2,100.00,200,Delhi,North,,,,,,,,,
16 May 2013,Tuesday,Rachel  Gomez,Nestle Milky Bar Stick,1,319.00,319,Delhi,North,,,,,,,,,
17 May 2013,Wednesday,Cecilia  Manning,Nestle Aero Mint Potz,3,284.00,852,Trivandrum,South,,,,,,,,,
18 May 2013,Thursday,Lee  Mack,Nestle Rowntree Fruit Pastil,1,167.00,167,Delhi,North,,,,,,,,,
19 May 2013,Friday,Robert  Munoz,Nestle Rowntree Fruit Pastil,2,370.00,740,Delhi,North,,,,,,,,,
20 May 2013,Saturday,Lee  Mack,Nestle Rowntree Fruit Pastil,22,365.00,8030,Delhi,North,,,,,,,,,
21 May 2013,Sunday,Carla  Mccormick,Nestle Smarties Pop-Up,3,222.00,666,Varanasi,North,,,,,,,,,
22 May 2013,Monday,Iris  Underwood,Nestle Milky Bar Stick,1,200.00,200,Pune,West,,,,,,,,,
23 May 2013,Tuesday,Brooke  Horton,Nestle Smarties Pop-Up,3,429.00,1287,Nainital,North,,,,,,,,,
24 May 2013,Wednesday,Edwin  Malone,Nestle Smarties Pop-Up,3,129.00,387,Kolkata,East,,,,,,,,,
25 May 2013,Thursday,Johanna  Boone,Nestle Rowntree Fruit Pastil,2,355.00,710,Mysore,South,,,,,,,,,
26 May 2013,Friday,Cassandra  Franklin,Nestle Milky Bar Stick,2,168.00,336,Delhi,North,,,,,,,,,
27 May 2013,Saturday,Guillermo  Potter,Nestle Milky Bar Stick,2,210.00,420,Nainital,North,,,,,,,,,
28 May 2013,Sunday,Edwin  Malone,Nestle Fab,1,138.00,138,Kolkata,East,,,,,,,,,
29 May 2013,Monday,Joey  Wong,Nestle Smarties Pop-Up,3,493.00,1479,Goa,West,,,,,,,,,
30 May 2013,Tuesday,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,160.00,160,Delhi,North,,,,,,,,,
31 May 2013,Wednesday,Joey  Wong,Nestle Maxibon Cookie,2,151.00,302,Goa,West,,,,,,,,,
01 June 2013,Thursday,Trevor  Jones,Nestle Aero Mint Potz,3,383.00,1149,Pune,West,,,,,,,,,
02 June 2013,Friday,Andrew  Meyer,Nestle Rowntree Screamers,3,187.00,561,Mumbai,West,,,,,,,,,
03 June 2013,Saturday,Drew  Rogers,Nestle Smarties Pop-Up,1,111.00,111,Delhi,North,,,,,,,,,
04 June 2013,Sunday,Max  Rodgers,Nestle Rowntree Fruit Pastil,1,114.00,114,Nagpur,West,,,,,,,,,
05 June 2013,Monday,Mable  Lindsey,Nestle Milky Bar Stick,2,208.00,416,Ahmedabad,West,,,,,,,,,
06 June 2013,Tuesday,Colleen  Warren,Nestle Smarties Pop-Up,1,288.00,288,Ahmedabad,West,,,,,,,,,
07 June 2013,Wednesday,Cassandra  Franklin,Nestle Milky Bar Stick,3,282.00,846,Delhi,North,,,,,,,,,
08 June 2013,Thursday,Pauline  Beck,Nestle Rowntree Fruit Pastil,1,372.00,372,Pune,West,,,,,,,,,
09 June 2013,Friday,Joey  Wong,Nestle Kit Kat Cone,2,119.00,238,Goa,West,,,,,,,,,
10 June 2013,Saturday,Trevor  Jones,Nestle Toffee Crumble,1,114.00,114,Pune,West,,,,,,,,,
11 June 2013,Sunday,Cindy  Becker,Nestle Fab,1,367.00,367,Bangalore,South,,,,,,,,,
12 June 2013,Monday,Trevor  Jones,Nestle Aero Mint Potz,3,247.00,741,Pune,West,,,,,,,,,
13 June 2013,Tuesday,Robert  Munoz,Nestle Rolo Potz,2,365.00,730,Delhi,North,,,,,,,,,
14 June 2013,Wednesday,Max  Rodgers,Nestle Rowntree Screamers,1,410.00,410,Nagpur,West,,,,,,,,,
15 June 2013,Thursday,Bobbie  Ryan,Nestle Aero Mint Potz,3,163.00,489,Darjeeling,East,,,,,,,,,
16 June 2013,Friday,Beth  Tucker,Nestle Kit Kat Cone,2,164.00,328,Pune,West,,,,,,,,,
17 June 2013,Saturday,Robert  Munoz,Nestle Nobbly Bobbly,2,278.00,556,Delhi,North,,,,,,,,,
18 June 2013,Sunday,Elvira  Bowman,Nestle Smarties Pop-Up,3,396.00,1188,Srinagar,North,,,,,,,,,
19 June 2013,Monday,Brooke  Horton,Nestle Toffee Crumble,2,296.00,592,Nainital,North,,,,,,,,,
20 June 2013,Tuesday,Salvador  Bass,Nestle Smarties Pop-Up,1,233.00,233,Goa,West,,,,,,,,,
21 June 2013,Wednesday,Patty  Thompson,Nestle Rolo Potz,3,189.00,567,Mumbai,West,,,,,,,,,
22 June 2013,Thursday,Felicia  Jennings,Nestle Rolo Potz,1,118.00,118,Pune,West,,,,,,,,,
23 June 2013,Friday,Edwin  Malone,Nestle Kit Kat Cone,1,426.00,426,Kolkata,East,,,,,,,,,
24 June 2013,Saturday,Iris  Underwood,Nestle Kit Kat Cone,3,435.00,1305,Pune,West,,,,,,,,,
25 June 2013,Sunday,Salvador  Bass,Nestle Fab,1,464.00,464,Goa,West,,,,,,,,,
26 June 2013,Monday,Jaime  Pearson,Nestle Milky Bar Stick,1,337.00,337,Jodhpur,North,,,,,,,,,
27 June 2013,Tuesday,Arturo  Francis,Nestle Smarties Pop-Up,1,472.00,472,Ranchi,East,,,,,,,,,
28 June 2013,Wednesday,Shari  Silva,Nestle Fab,3,185.00,555,Mysore,South,,,,,,,,,
29 June 2013,Thursday,Herman  Williams,Nestle Toffee Crumble,1,416.00,416,Darjeeling,East,,,,,,,,,
30 June 2013,Friday,Trevor  Jones,Nestle Smarties Pop-Up,1,396.00,396,Pune,West,,,,,,,,,
01 July 2013,Saturday,Eric  Rose,Nestle Fab,2,248.00,496,Mumbai,West,,,,,,,,,
02 July 2013,Sunday,Lula  Daniels,Nestle Toffee Crumble,12,217.00,2604,Nainital,North,,,,,,,,,
03 July 2013,Monday,Fernando  Rowe,Nestle Rowntree Fruit Pastil,1,317.00,317,Ahmedabad,West,,,,,,,,,
04 July 2013,Tuesday,Lorraine  Gibson,Nestle Toffee Crumble,3,362.00,1086,Kolkata,East,,,,,,,,,
05 July 2013,Wednesday,Donna  Reid,Nestle Fab,2,137.00,274,Goa,West,,,,,,,,,
06 July 2013,Thursday,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,294.00,1176,Delhi,North,,,,,,,,,
07 July 2013,Friday,Jaime  Pearson,Nestle Rowntree Screamers,2,146.00,292,Jodhpur,North,,,,,,,,,
08 July 2013,Saturday,Donna  Reid,Nestle Rolo Potz,13,463.00,6019,Goa,West,,,,,,,,,
09 July 2013,Sunday,Lynette  Brewer,Nestle Rowntree Fruit Pastil,2,464.00,928,Varanasi,North,,,,,,,,,
10 July 2013,Monday,Colleen  Warren,Nestle Milky Bar Stick,2,394.00,788,Ahmedabad,West,,,,,,,,,
11 July 2013,Tuesday,Robert  Munoz,Nestle Smarties Pop-Up,1,136.00,136,Delhi,North,,,,,,,,,
12 July 2013,Wednesday,Iris  Underwood,Nestle Rowntree Fruit Pastil,3,361.00,1083,Pune,West,,,,,,,,,
13 July 2013,Thursday,Kyle  Carr,Nestle Nobbly Bobbly,3,217.00,651,Delhi,North,,,,,,,,,
14 July 2013,Friday,Robert  Munoz,Nestle Rowntree Screamers,2,286.00,572,Delhi,North,,,,,,,,,
15 July 2013,Saturday,Arturo  Francis,Nestle Rolo Potz,3,132.00,396,Ranchi,East,,,,,,,,,
16 July 2013,Sunday,Mable  Lindsey,Nestle Aero Mint Potz,2,331.00,662,Ahmedabad,West,,,,,,,,,
17 July 2013,Monday,Johanna  Boone,Nestle Aero Mint Potz,4,294.00,1176,Mysore,South,,,,,,,,,
18 July 2013,Tuesday,Lula  Daniels,Nestle Toffee Crumble,18,163.00,2934,Nainital,North,,,,,,,,,
19 July 2013,Wednesday,Tracy  Reed,Nestle Maxibon Cookie,3,487.00,1461,Agra,North,,,,,,,,,
20 July 2013,Thursday,Eddie  Green,Nestle Smarties Pop-Up,3,144.00,432,Durgapur,East,,,,,,,,,
21 July 2013,Friday,Herman  Williams,Nestle Toffee Crumble,1,269.00,269,Darjeeling,East,,,,,,,,,
22 July 2013,Saturday,Guillermo  Potter,Nestle Rolo Potz,3,166.00,498,Nainital,North,,,,,,,,,
23 July 2013,Sunday,Ernest  Davis,Nestle Fab,4,469.00,1876,Mumbai,West,,,,,,,,,
24 July 2013,Monday,Trevor  Jones,Nestle Rowntree Screamers,1,122.00,122,Pune,West,,,,,,,,,
25 July 2013,Tuesday,Brooke  Horton,Nestle Smarties Pop-Up,4,140.00,560,Nainital,North,,,,,,,,,
26 July 2013,Wednesday,Herman  Williams,Nestle Nobbly Bobbly,1,133.00,133,Darjeeling,East,,,,,,,,,
27 July 2013,Thursday,Eddie  Green,Nestle Fab,1,308.00,308,Durgapur,East,,,,,,,,,
28 July 2013,Friday,Salvador  Bass,Nestle Aero Mint Potz,3,186.00,558,Goa,West,,,,,,,,,
29 July 2013,Saturday,Iris  Underwood,Nestle Fab,3,248.00,744,Pune,West,,,,,,,,,
30 July 2013,Sunday,Donna  Reid,Nestle Toffee Crumble,3,386.00,1158,Goa,West,,,,,,,,,
31 July 2013,Monday,Rachel  Gomez,Nestle Rowntree Screamers,1,269.00,269,Delhi,North,,,,,,,,,
01 August 2013,Tuesday,Bobbie  Ryan,Nestle Aero Mint Potz,1,470.00,470,Darjeeling,East,,,,,,,,,
02 August 2013,Wednesday,Eddie  Green,Nestle Milky Bar Stick,4,261.00,1044,Durgapur,East,,,,,,,,,
03 August 2013,Thursday,Shari  Silva,Nestle Milky Bar Stick,3,197.00,591,Mysore,South,,,,,,,,,
04 August 2013,Friday,Lynette  Brewer,Nestle Nobbly Bobbly,2,433.00,866,Varanasi,North,,,,,,,,,
05 August 2013,Saturday,Pauline  Beck,Nestle Rowntree Fruit Pastil,3,437.00,1311,Pune,West,,,,,,,,,
06 August 2013,Sunday,Charlie  Wood,Nestle Fab,2,331.00,662,Agra,North,,,,,,,,,
07 August 2013,Monday,Bethany  Pena,Nestle Maxibon Cookie,2,221.00,442,Nagpur,West,,,,,,,,,
08 August 2013,Tuesday,Shari  Silva,Nestle Rolo Potz,2,362.00,724,Mysore,South,,,,,,,,,
09 August 2013,Wednesday,Ernest  Davis,Nestle Smarties Pop-Up,2,364.00,728,Mumbai,West,,,,,,,,,
10 August 2013,Thursday,Lance  Yates,Nestle Maxibon Cookie,3,391.00,1173,Srinagar,North,,,,,,,,,
11 August 2013,Friday,Jenny  Garcia,Nestle Kit Kat Cone,3,210.00,630,Shimla,North,,,,,,,,,
12 August 2013,Saturday,Pauline  Beck,Nestle Aero Mint Potz,18,205.00,3690,Pune,West,,,,,,,,,
13 August 2013,Sunday,Ellen  Weaver,Nestle Fab,2,365.00,730,Hyderabad,South,,,,,,,,,
14 August 2013,Monday,Austin  Reynolds,Nestle Aero Mint Potz,3,344.00,1032,Kolkata,East,,,,,,,,,
15 August 2013,Tuesday,Willie  Vega,Nestle Maxibon Cookie,3,145.00,435,Delhi,North,,,,,,,,,
16 August 2013,Wednesday,Salvador  Bass,Nestle Aero Mint Potz,3,109.00,327,Goa,West,,,,,,,,,
17 August 2013,Thursday,Rachel  Gomez,Nestle Milky Bar Stick,13,293.00,3809,Delhi,North,,,,,,,,,
18 August 2013,Friday,Drew  Rogers,Nestle Nobbly Bobbly,4,467.00,1868,Delhi,North,,,,,,,,,
19 August 2013,Saturday,Guillermo  Potter,Nestle Aero Mint Potz,4,296.00,1184,Nainital,North,,,,,,,,,
20 August 2013,Sunday,Cassandra  Franklin,Nestle Toffee Crumble,4,390.00,1560,Delhi,North,,,,,,,,,
